NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=410.657s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=7e:6d:66:f2:76:ac,dl_dst=62:17:b2:5a:1c:29,nw_src=10.2.0.3,nw_dst=10.3.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=570.409s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=8e:22:55:c0:b0:ec,dl_dst=8e:6a:35:b6:38:4a,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2,output:3
 cookie=0x0, duration=453.86s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=3,vlan_tci=0x0000,dl_src=2e:e8:cc:44:85:70,dl_dst=62:17:b2:5a:1c:29,nw_src=10.1.1.3,nw_dst=10.3.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2,output:1
 cookie=0x0, duration=298.858s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=42:ee:98:0f:7f:d1,dl_dst=3a:6d:6d:88:c2:dd,nw_src=10.3.1.3,nw_dst=10.1.1.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=386.714s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=42:ee:98:0f:7f:d1,dl_dst=ea:c7:69:ee:e5:53,nw_src=10.3.1.3,nw_dst=10.2.1.2,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2,output:3
 cookie=0x0, duration=448.254s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=8e:6a:35:b6:38:4a,dl_dst=86:d8:a5:94:02:4a,nw_src=10.0.1.3,nw_dst=10.2.0.2,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=325.294s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=62:17:b2:5a:1c:29,dl_dst=e6:80:3d:f7:04:74,nw_src=10.3.0.3,nw_dst=10.3.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=347.764s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=e6:80:3d:f7:04:74,dl_dst=ea:c7:69:ee:e5:53,nw_src=10.3.0.2,nw_dst=10.2.1.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=582.499s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=a6:68:fd:df:e0:64,dl_dst=2e:e8:cc:44:85:70,nw_src=10.0.0.3,nw_dst=10.1.1.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2,output:3
 cookie=0x0, duration=321.827s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=d6:11:4e:1c:c0:57,dl_dst=a6:68:fd:df:e0:64,nw_src=10.3.1.2,nw_dst=10.0.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=472.844s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ea:c7:69:ee:e5:53,dl_dst=3a:6d:6d:88:c2:dd,nw_src=10.2.1.2,nw_dst=10.1.1.2,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2,output:3
 cookie=0x0, duration=463.564s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=8e:6a:35:b6:38:4a,dl_dst=2e:e8:cc:44:85:70,nw_src=10.0.1.3,nw_dst=10.1.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=598.706s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=ba:41:3b:44:47:04,dl_dst=86:d8:a5:94:02:4a,nw_src=10.0.0.2,nw_dst=10.2.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=571.553s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=8e:22:55:c0:b0:ec,dl_dst=ba:41:3b:44:47:04,nw_src=10.0.1.2,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2,output:3
 cookie=0x0, duration=340.497s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=62:17:b2:5a:1c:29,dl_dst=8e:6a:35:b6:38:4a,nw_src=10.3.0.3,nw_dst=10.0.1.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=304.346s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=d6:11:4e:1c:c0:57,dl_dst=42:ee:98:0f:7f:d1,nw_src=10.3.1.2,nw_dst=10.3.1.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=365.565s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=e6:80:3d:f7:04:74,dl_dst=a6:68:fd:df:e0:64,nw_src=10.3.0.2,nw_dst=10.0.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=549.088s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=1e:04:71:eb:6f:e0,dl_dst=8e:6a:35:b6:38:4a,nw_src=10.1.0.3,nw_dst=10.0.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1,output:3
 cookie=0x0, duration=492.094s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=62:17:b2:5a:1c:29,dl_dst=1e:04:71:eb:6f:e0,nw_src=10.3.0.3,nw_dst=10.1.0.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:3,output:2
 cookie=0x0, duration=382.802s, table=0, n_packets=1, n_bytes=98, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=82:e4:97:06:6a:25,dl_dst=9e:83:b9:20:7c:a2,nw_src=10.1.0.2,nw_dst=10.2.1.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:3,output:1
